,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
recall@1,0.09900011633317822,0.10177392892521052,0.10391415594961319,0.10145674183329345,0.10238310574294984,0.10151819509155671,0.1016743739793003,0.001457866290645021
recall@5,0.25174743205280664,0.254566794028161,0.2575954456216773,0.2556247583961338,0.25555764971859773,0.25634801065847573,0.2552400150793087,0.0018108924691071092
recall@20,0.4517710864657119,0.4534639894219203,0.4574555141384829,0.45181128517609037,0.45497027028467,0.4527695961532416,0.45370695694001945,0.0019969345702108084
