,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
recall@1,0.01759343418435759,0.017521782114181702,0.01700591654238245,0.01728664704800441,0.018051680400935598,0.016608201114455566,0.017344610234052888,0.0004570964510526381
recall@5,0.07500601017937975,0.07386177096518866,0.07256365675286335,0.07330368638167056,0.07336030749931251,0.07299364759448153,0.07351484656214939,0.0007733915390156194
recall@20,0.26355041544159713,0.26472714225437566,0.2645615287966745,0.2636550706359424,0.26375527973724133,0.26311072398227897,0.2638933601413517,0.0005697397761141958
