,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
recall@1,0.09384345246204383,0.09612447908412035,0.09817583160813399,0.09656900744390524,0.09721750054275168,0.09633406483945775,0.0963773893300688,0.0013205791427682192
recall@5,0.24323381793569343,0.24618805224186388,0.24926544402442802,0.24762097230923888,0.24787524423825086,0.24909573391853823,0.2472132107780022,0.0020512853636549416
recall@20,0.45052698614525966,0.4530872936702534,0.45629947067294085,0.45056937645347284,0.4529116676674696,0.45126581687444556,0.452443435247307,0.002003100223296365
