,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
recall@1,0.09453519165872189,0.09638390860295214,0.09831260157145913,0.09693143212657378,0.0976203178168642,0.09679940755123251,0.09676380988796729,0.0011742224461108461
recall@5,0.24442511030834455,0.24689164039702655,0.250549687351477,0.24847458181720097,0.24874867687727437,0.25003391644729883,0.24818726886643705,0.0020502579601782505
recall@20,0.4502253943753013,0.45226413679382593,0.4561145298622859,0.4501397074787608,0.45295681995948733,0.45048432064422583,0.45203081818564783,0.002114084806020461
