,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,mean,std
recall@1,0.09366939579849484,0.09560675568153561,0.09769449018736716,0.09635880503645643,0.09692204484468094,0.0958903171163092,0.09602363477747404,0.001254673961745178
recall@5,0.24319747350977766,0.2457661326129736,0.24934289811196272,0.2479159032855921,0.24768372487485918,0.24896043519418082,0.24714442793155766,0.002101400966014764
recall@20,0.4501438513235057,0.45265321853043783,0.45608581874806575,0.45021998651138834,0.45346575115241883,0.4509224833719453,0.4522485182729603,0.002108445151923744
